card_name,set,rarity,full_rarity,old_price,cur_price,print_run,full_set,set_rarity,pct_increase,performance
Unsummon,LEA,common,C,$0.41,40.89333333333334,16000,Alpha,LEA (C),9873.983739837393,Beat S&P
Uthden Troll,LEA,uncommon,U,$3.00,114.06,4500,Alpha,LEA (U),3702.0000000000005,Beat S&P
Verduran Enchantress,LEA,rare,R,$8.00,1099.99,1100,Alpha,LEA (R),13649.875,Beat S&P
Vesuvan Doppelganger,LEA,rare,R,$12.00,2327.295,1100,Alpha,LEA (R),19294.125,Beat S&P
Veteran Bodyguard,LEA,rare,R,$10.50,699.99,1100,Alpha,LEA (R),6566.571428571428,Beat S&P
Volcanic Eruption,LEA,rare,R,$6.00,513.65,1100,Alpha,LEA (R),8460.833333333334,Beat S&P
Wall of Air,LEA,uncommon,U,$2.00,43.053333333333335,4500,Alpha,LEA (U),2052.666666666665,Below S&P
Wall of Bone,LEA,uncommon,U,$2.00,51.035,4500,Alpha,LEA (U),2451.75,Beat S&P
Wall of Brambles,LEA,uncommon,U,$2.00,77.235,4500,Alpha,LEA (U),3761.75,Beat S&P
Wall of Fire,LEA,uncommon,U,$2.00,41.51,4500,Alpha,LEA (U),1975.5,Below S&P
Wall of Ice,LEA,uncommon,U,$2.00,42.745,4500,Alpha,LEA (U),2037.2499999999998,Below S&P
Wall of Stone,LEA,uncommon,U,$2.00,59.81666666666666,4500,Alpha,LEA (U),2890.833333333335,Beat S&P
Wall of Swords,LEA,uncommon,U,$4.00,98.535,4500,Alpha,LEA (U),2363.375,Beat S&P
Wall of Water,LEA,uncommon,U,$2.00,36.43,4500,Alpha,LEA (U),1721.5,Below S&P
Wall of Wood,LEA,common,C,$0.41,17.29,16000,Alpha,LEA (C),4117.073170731707,Beat S&P
Wanderlust,LEA,uncommon,U,$2.00,42.39333333333333,4500,Alpha,LEA (U),2019.6666666666652,Below S&P
War Mammoth,LEA,common,C,$0.41,20.783333333333335,16000,Alpha,LEA (C),4969.105691056902,Beat S&P
Warp Artifact,LEA,rare,R,$5.00,749.99,1100,Alpha,LEA (R),14899.8,Beat S&P
Water Elemental,LEA,uncommon,U,$2.00,62.47,4500,Alpha,LEA (U),3023.5,Beat S&P
Weakness,LEA,common,C,$0.40,26.715000000000003,16000,Alpha,LEA (C),6578.749999999999,Beat S&P
Web,LEA,rare,R,$5.50,222.52,1100,Alpha,LEA (R),3945.818181818182,Beat S&P
Wheel of Fortune,LEA,rare,R,$6.00,5025.594999999999,1100,Alpha,LEA (R),83659.91666666667,Beat S&P
White Knight,LEA,uncommon,U,$4.00,225.15666666666667,4500,Alpha,LEA (U),5528.916666666675,Beat S&P
White Ward,LEA,uncommon,U,$2.00,35.60666666666667,4500,Alpha,LEA (U),1680.3333333333348,Below S&P
Wild Growth,LEA,common,C,$0.41,70.02666666666667,16000,Alpha,LEA (C),16979.67479674798,Beat S&P
Will-o'-the-Wisp,LEA,rare,R,$7.50,1140.745,1100,Alpha,LEA (R),15109.93333333333,Beat S&P
Winter Orb,LEA,rare,R,$6.00,1855.445,1100,Alpha,LEA (R),30824.083333333336,Beat S&P
Wooden Sphere,LEA,uncommon,U,$2.00,38.35,4500,Alpha,LEA (U),1817.5,Below S&P
Word of Command,LEA,rare,R,$10.00,885.7,1100,Alpha,LEA (R),8757,Beat S&P
Wrath of God,LEA,rare,R,$9.00,2699.99,1100,Alpha,LEA (R),29899.888888888887,Beat S&P
Zombie Master,LEA,rare,R,$9.00,NA,1100,Alpha,LEA (R),NA,NA
Air Elemental,LEB,uncommon,U,$2.00,37.14,13500,Beta,LEB (U),1757,Below S&P
Ancestral Recall,LEB,rare,R,$7.75,NA,3200,Beta,LEB (R),NA,NA
Animate Artifact,LEB,uncommon,U,$1.50,8.683333333333334,13500,Beta,LEB (U),478.8888888888887,Below S&P
Animate Dead,LEB,uncommon,U,$1.50,685.01,13500,Beta,LEB (U),45567.333333333336,Beat S&P
Animate Wall,LEB,rare,R,$5.00,94.40666666666667,3200,Beta,LEB (R),1788.1333333333337,Below S&P
Ankh of Mishra,LEB,rare,R,$4.75,624.915,3200,Beta,LEB (R),13056.105263157895,Beat S&P
Armageddon,LEB,rare,R,$7.50,946.1800000000001,3200,Beta,LEB (R),12515.733333333334,Beat S&P
Aspect of Wolf,LEB,rare,R,$6.50,164.995,3200,Beta,LEB (R),2438.3846153846152,Beat S&P
Bad Moon,LEB,rare,R,$6.75,324.705,3200,Beta,LEB (R),4710.444444444444,Beat S&P
Badlands,LEB,rare,R,$6.50,1510,3200,Beta,LEB (R),23130.76923076923,Beat S&P
Balance,LEB,rare,R,$5.50,1149.495,3200,Beta,LEB (R),20799.90909090909,Beat S&P
Basalt Monolith,LEB,uncommon,U,$1.50,240.85,13500,Beta,LEB (U),15956.666666666666,Beat S&P
Bayou,LEB,rare,R,$6.50,3224.995,3200,Beta,LEB (R),49515.307692307695,Beat S&P
Benalish Hero,LEB,common,C,$0.40,6.463333333333334,48000,Beta,LEB (C),1515.8333333333323,Below S&P
Berserk,LEB,uncommon,U,$2.00,194.52,13500,Beta,LEB (U),9626,Beat S&P
Birds of Paradise,LEB,rare,R,$5.50,2699.99,3200,Beta,LEB (R),48990.72727272727,Beat S&P
Black Knight,LEB,uncommon,U,$3.00,149.51,13500,Beta,LEB (U),4883.666666666667,Beat S&P
Black Lotus,LEB,rare,R,$15.00,NA,3200,Beta,LEB (R),NA,NA
Black Vise,LEB,uncommon,U,$2.50,227.74,13500,Beta,LEB (U),9009.6,Beat S&P
Black Ward,LEB,uncommon,U,$1.50,10.705,13500,Beta,LEB (U),613.6666666666666,Below S&P
Blaze of Glory,LEB,rare,R,$6.00,203.79333333333332,3200,Beta,LEB (R),3296.55555555555,Beat S&P
Blessing,LEB,rare,R,$5.50,119.99,3200,Beta,LEB (R),2081.6363636363635,Below S&P
Blue Elemental Blast,LEB,common,C,$0.35,47.46333333333334,48000,Beta,LEB (C),13460.952380952373,Beat S&P
Blue Ward,LEB,uncommon,U,$1.00,9.04,13500,Beta,LEB (U),803.9999999999999,Below S&P
Bog Wraith,LEB,uncommon,U,$2.50,25.653333333333332,13500,Beta,LEB (U),926.1333333333321,Below S&P
Braingeyser,LEB,rare,R,$7.00,999.99,3200,Beta,LEB (R),14185.57142857143,Beat S&P
Burrowing,LEB,uncommon,U,$1.00,8.16,13500,Beta,LEB (U),716,Below S&P
Camouflage,LEB,uncommon,U,$1.25,17.713333333333335,13500,Beta,LEB (U),1317.0666666666639,Below S&P
Castle,LEB,uncommon,U,$2.00,15.425,13500,Beta,LEB (U),671.25,Below S&P
Celestial Prism,LEB,uncommon,U,$2.00,12.9,13500,Beta,LEB (U),545,Below S&P
Channel,LEB,uncommon,U,$2.25,73.55,13500,Beta,LEB (U),3168.8888888888887,Beat S&P
Chaos Orb,LEB,rare,R,$9.00,4199.99,3200,Beta,LEB (R),46566.555555555555,Beat S&P
Chaoslace,LEB,rare,R,$3.88,56.17333333333333,3200,Beta,LEB (R),1347.766323024054,Below S&P
Circle of Protection: Black,LEB,common,C,$0.50,7.463333333333334,48000,Beta,LEB (C),1392.666666666666,Below S&P
Circle of Protection: Blue,LEB,common,C,$0.38,4.796666666666667,48000,Beta,LEB (C),1162.280701754387,Below S&P
Circle of Protection: Green,LEB,common,C,$0.38,3.92,48000,Beta,LEB (C),931.578947368421,Below S&P
Circle of Protection: Red,LEB,common,C,$0.38,10.76,48000,Beta,LEB (C),2731.578947368421,Beat S&P
Circle of Protection: White,LEB,common,C,$0.38,3.9633333333333334,48000,Beta,LEB (C),942.98245614035,Below S&P
Clockwork Beast,LEB,rare,R,$8.25,135.03,3200,Beta,LEB (R),1536.7272727272727,Below S&P
Clone,LEB,uncommon,U,$3.00,75.405,13500,Beta,LEB (U),2413.5,Beat S&P
Cockatrice,LEB,rare,R,$7.50,193.37,3200,Beta,LEB (R),2478.266666666667,Beat S&P
Consecrate Land,LEB,uncommon,U,$2.00,19.263333333333332,13500,Beta,LEB (U),863.166666666665,Below S&P
Conservator,LEB,uncommon,U,$2.00,10.833333333333332,13500,Beta,LEB (U),441.66666666666504,Below S&P
Contract from Below,LEB,rare,R,$4.75,375.035,3200,Beta,LEB (R),7795.473684210527,Beat S&P
Control Magic,LEB,uncommon,U,$3.00,73.42999999999999,13500,Beta,LEB (U),2347.666666666667,Beat S&P
Conversion,LEB,uncommon,U,$1.50,9.416666666666666,13500,Beta,LEB (U),527.7777777777779,Below S&P
Copper Tablet,LEB,uncommon,U,$1.00,94.59333333333333,13500,Beta,LEB (U),9359.33333333333,Beat S&P
Copy Artifact,LEB,rare,R,$5.50,1414.3,3200,Beta,LEB (R),25614.545454545452,Beat S&P
Counterspell,LEB,uncommon,U,$3.00,535.3633333333333,13500,Beta,LEB (U),17745.444444444434,Beat S&P
Craw Wurm,LEB,common,C,$0.70,10.34,48000,Beta,LEB (C),1377.1428571428573,Below S&P
Creature Bond,LEB,common,C,$0.35,3.6766666666666667,48000,Beta,LEB (C),950.4761904761914,Below S&P
Crusade,LEB,rare,R,$6.50,NA,3200,Beta,LEB (R),NA,NA
Crystal Rod,LEB,uncommon,U,$1.50,10.623333333333333,13500,Beta,LEB (U),608.2222222222199,Below S&P
Cursed Land,LEB,uncommon,U,$1.50,14.34,13500,Beta,LEB (U),856,Below S&P
Cyclopean Tomb,LEB,rare,R,$9.00,456.145,3200,Beta,LEB (R),4968.277777777777,Beat S&P
Dark Ritual,LEB,common,C,$0.50,163.43,48000,Beta,LEB (C),32586,Beat S&P
Darkpact,LEB,rare,R,$4.50,114.62,3200,Beta,LEB (R),2447.1111111111113,Beat S&P
Death Ward,LEB,common,C,$0.35,3.876666666666667,48000,Beta,LEB (C),1007.6190476190486,Below S&P
Deathgrip,LEB,uncommon,U,$1.50,26.095000000000002,13500,Beta,LEB (U),1639.6666666666665,Below S&P
Deathlace,LEB,rare,R,$3.88,79.99,3200,Beta,LEB (R),1961.5979381443299,Below S&P
Demonic Attorney,LEB,rare,R,$4.63,122.08000000000001,3200,Beta,LEB (R),2536.7170626349894,Beat S&P
Demonic Hordes,LEB,rare,R,$8.65,416.78,3200,Beta,LEB (R),4718.265895953757,Beat S&P
Demonic Tutor,LEB,uncommon,U,$3.50,530.45,13500,Beta,LEB (U),15055.714285714288,Beat S&P
Dingus Egg,LEB,rare,R,$6.00,72.845,3200,Beta,LEB (R),1114.0833333333333,Below S&P
Disenchant,LEB,common,C,$0.90,45.906666666666666,48000,Beta,LEB (C),5000.7407407407445,Beat S&P
Disintegrate,LEB,common,C,$0.70,14.229999999999999,48000,Beta,LEB (C),1932.8571428571433,Below S&P
Disrupting Scepter,LEB,rare,R,$5.00,117.5,3200,Beta,LEB (R),2250,Below S&P
Dragon Whelp,LEB,uncommon,U,$3.00,52.7,13500,Beta,LEB (U),1656.6666666666667,Below S&P
Drain Life,LEB,common,C,$0.38,17.096666666666668,48000,Beta,LEB (C),4399.122807017553,Beat S&P
Drain Power,LEB,rare,R,$5.75,99.99,3200,Beta,LEB (R),1638.9565217391305,Below S&P
Drudge Skeletons,LEB,common,C,$0.38,8.17,48000,Beta,LEB (C),2050,Below S&P
Dwarven Demolition Team,LEB,uncommon,U,$1.50,12.906666666666666,13500,Beta,LEB (U),760.4444444444467,Below S&P
Dwarven Warriors,LEB,common,C,$0.38,3.9033333333333333,48000,Beta,LEB (C),927.1929824561395,Below S&P
Earth Elemental,LEB,uncommon,U,$1.50,14.746666666666668,13500,Beta,LEB (U),883.1111111111132,Below S&P
Earthbind,LEB,common,C,$0.35,32.96666666666667,48000,Beta,LEB (C),9319.047619047627,Beat S&P
Earthquake,LEB,rare,R,$5.50,260,3200,Beta,LEB (R),4627.272727272727,Beat S&P
Elvish Archers,LEB,rare,R,$6.75,NA,3200,Beta,LEB (R),NA,NA
Evil Presence,LEB,uncommon,U,$1.20,26.745,13500,Beta,LEB (U),2128.75,Below S&P
False Orders,LEB,common,C,$0.60,6.07,48000,Beta,LEB (C),911.6666666666669,Below S&P
Farmstead,LEB,rare,R,$5.00,108.095,3200,Beta,LEB (R),2061.9,Below S&P
Fastbond,LEB,rare,R,$4.75,599.13,3200,Beta,LEB (R),12513.263157894737,Beat S&P
Fear,LEB,common,C,$0.35,4.293333333333333,48000,Beta,LEB (C),1126.6666666666658,Below S&P
Feedback,LEB,uncommon,U,$1.00,11.773333333333333,13500,Beta,LEB (U),1077.33333333333,Below S&P
Fire Elemental,LEB,uncommon,U,$2.00,30.13,13500,Beta,LEB (U),1406.5,Below S&P
Fireball,LEB,common,C,$0.53,36.81333333333333,48000,Beta,LEB (C),6845.911949685526,Beat S&P
Firebreathing,LEB,common,C,$0.35,5.823333333333333,48000,Beta,LEB (C),1563.809523809523,Below S&P
Flashfires,LEB,uncommon,U,$1.90,19.34,13500,Beta,LEB (U),917.8947368421054,Below S&P
Flight,LEB,common,C,$0.35,3.3333333333333335,48000,Beta,LEB (C),852.3809523809515,Below S&P
Fog,LEB,common,C,$0.35,14.44,48000,Beta,LEB (C),4025.714285714286,Beat S&P
Force of Nature,LEB,rare,R,$12.00,482.81,3200,Beta,LEB (R),3923.4166666666665,Beat S&P
Forcefield,LEB,rare,R,$7.30,995.1433333333333,3200,Beta,LEB (R),13532.100456621001,Beat S&P
Fork,LEB,rare,R,$8.35,797.32,3200,Beta,LEB (R),9448.742514970061,Beat S&P
Frozen Shade,LEB,common,C,$0.38,6.023333333333333,48000,Beta,LEB (C),1485.0877192982446,Below S&P
Fungusaur,LEB,rare,R,$7.50,112.08500000000001,3200,Beta,LEB (R),1394.4666666666667,Below S&P
Gaea's Liege,LEB,rare,R,$10.00,149.87333333333333,3200,Beta,LEB (R),1398.73333333333,Below S&P
Gauntlet of Might,LEB,rare,R,$12.00,841.955,3200,Beta,LEB (R),6916.291666666668,Beat S&P
Giant Growth,LEB,common,C,$0.35,23.153333333333332,48000,Beta,LEB (C),6515.238095238085,Beat S&P
Giant Spider,LEB,common,C,$0.38,6.543333333333333,48000,Beta,LEB (C),1621.9298245614027,Below S&P
Glasses of Urza,LEB,uncommon,U,$1.50,39.156666666666666,13500,Beta,LEB (U),2510.4444444444466,Beat S&P
Gloom,LEB,uncommon,U,$3.00,1385.8233333333333,13500,Beta,LEB (U),46094.11111111101,Beat S&P
Goblin Balloon Brigade,LEB,uncommon,U,$1.25,34.21666666666667,13500,Beta,LEB (U),2637.3333333333358,Beat S&P
Goblin King,LEB,rare,R,$7.25,487.0933333333333,3200,Beta,LEB (R),6618.52873563218,Beat S&P
Granite Gargoyle,LEB,rare,R,$6.25,236.12333333333333,3200,Beta,LEB (R),3677.9733333333274,Beat S&P
Gray Ogre,LEB,common,C,$0.35,2.8200000000000003,48000,Beta,LEB (C),705.7142857142857,Below S&P
Green Ward,LEB,uncommon,U,$1.00,5.946666666666666,13500,Beta,LEB (U),494.66666666666697,Below S&P
Grizzly Bears,LEB,common,C,$0.35,9.85,48000,Beta,LEB (C),2714.2857142857147,Beat S&P
Guardian Angel,LEB,common,C,$0.35,3.4699999999999998,48000,Beta,LEB (C),891.4285714285714,Below S&P
Healing Salve,LEB,common,C,$0.38,3.973333333333333,48000,Beta,LEB (C),945.6140350877184,Below S&P
Helm of Chatzuk,LEB,rare,R,$4.75,108.86666666666667,3200,Beta,LEB (R),2191.9298245614104,Below S&P
Hill Giant,LEB,common,C,$0.35,3.953333333333333,48000,Beta,LEB (C),1029.5238095238087,Below S&P
Holy Armor,LEB,common,C,$0.35,4.47,48000,Beta,LEB (C),1177.1428571428573,Below S&P
Holy Strength,LEB,common,C,$0.35,3.205,48000,Beta,LEB (C),815.7142857142858,Below S&P
Howl from Beyond,LEB,common,C,$0.35,5.073333333333333,48000,Beta,LEB (C),1349.5238095238087,Below S&P
Howling Mine,LEB,rare,R,$6.00,799.99,3200,Beta,LEB (R),13233.166666666668,Beat S&P
Hurloon Minotaur,LEB,common,C,$0.35,6.566666666666666,48000,Beta,LEB (C),1776.1904761904773,Below S&P
Hurricane,LEB,uncommon,U,$1.50,47.18666666666667,13500,Beta,LEB (U),3045.77777777778,Beat S&P
Hypnotic Specter,LEB,uncommon,U,$3.00,227.01,13500,Beta,LEB (U),7467,Beat S&P
Ice Storm,LEB,uncommon,U,$1.50,139.48000000000002,13500,Beta,LEB (U),9198.666666666666,Beat S&P
Icy Manipulator,LEB,uncommon,U,$4.50,272.61333333333334,13500,Beta,LEB (U),5958.074074074067,Beat S&P
Illusionary Mask,LEB,rare,R,$6.00,599.99,3200,Beta,LEB (R),9899.833333333334,Beat S&P
Instill Energy,LEB,uncommon,U,$1.75,37.083333333333336,13500,Beta,LEB (U),2019.0476190476172,Below S&P
Invisibility,LEB,common,C,$0.45,6.3,48000,Beta,LEB (C),1299.9999999999998,Below S&P
Iron Star,LEB,uncommon,U,$1.50,10.89,13500,Beta,LEB (U),626.0000000000001,Below S&P
Ironroot Treefolk,LEB,common,C,$0.35,4.1866666666666665,48000,Beta,LEB (C),1096.1904761904773,Below S&P
Ironclaw Orcs,LEB,common,C,$0.35,8.966666666666667,48000,Beta,LEB (C),2461.9047619047633,Beat S&P
Island Sanctuary,LEB,rare,R,$5.00,165.65333333333334,3200,Beta,LEB (R),3213.06666666666,Beat S&P
Ivory Cup,LEB,uncommon,U,$1.50,10.113333333333333,13500,Beta,LEB (U),574.22222222222,Below S&P
Jade Monolith,LEB,rare,R,$4.75,78.15666666666667,3200,Beta,LEB (R),1545.4035087719305,Below S&P
Jade Statue,LEB,uncommon,U,$3.00,46.153333333333336,13500,Beta,LEB (U),1438.4444444444434,Below S&P
Jayemdae Tome,LEB,rare,R,$5.50,1054.9566666666667,3200,Beta,LEB (R),19081.030303030362,Beat S&P
Juggernaut,LEB,uncommon,U,$2.50,115.90666666666667,13500,Beta,LEB (U),4536.26666666668,Beat S&P
Jump,LEB,common,C,$0.35,3.4266666666666667,48000,Beta,LEB (C),879.0476190476201,Below S&P
Karma,LEB,uncommon,U,$1.80,23.39,13500,Beta,LEB (U),1199.4444444444443,Below S&P
Keldon Warlord,LEB,uncommon,U,$3.00,28.276666666666664,13500,Beta,LEB (U),842.5555555555567,Below S&P
Kormus Bell,LEB,rare,R,$5.50,183.40333333333334,3200,Beta,LEB (R),3234.6060606060546,Beat S&P
Kudzu,LEB,rare,R,$4.25,196.47,3200,Beta,LEB (R),4522.823529411765,Beat S&P
Lance,LEB,uncommon,U,$1.50,9.793333333333333,13500,Beta,LEB (U),552.8888888888887,Below S&P
Ley Druid,LEB,uncommon,U,$1.50,12.266666666666667,13500,Beta,LEB (U),717.77777777778,Below S&P
Library of Leng,LEB,uncommon,U,$1.50,72.42666666666666,13500,Beta,LEB (U),4728.444444444447,Beat S&P
Lich,LEB,rare,R,$7.75,280.5,3200,Beta,LEB (R),3519.3548387096776,Beat S&P
Lifeforce,LEB,uncommon,U,$1.50,19.116666666666667,13500,Beta,LEB (U),1174.4444444444466,Below S&P
Lifelace,LEB,rare,R,$4.00,66.67333333333333,3200,Beta,LEB (R),1566.8333333333326,Below S&P
Lifetap,LEB,uncommon,U,$1.50,12.71,13500,Beta,LEB (U),747.3333333333334,Below S&P
Lightning Bolt,LEB,common,C,$0.70,172.29000000000002,48000,Beta,LEB (C),24512.857142857145,Beat S&P
Living Artifact,LEB,rare,R,$5.50,78.78333333333333,3200,Beta,LEB (R),1332.4242424242418,Below S&P
Living Lands,LEB,rare,R,$5.00,121.85666666666667,3200,Beta,LEB (R),2337.13333333334,Beat S&P
Living Wall,LEB,uncommon,U,$1.80,27.113333333333333,13500,Beta,LEB (U),1406.2962962962945,Below S&P
Llanowar Elves,LEB,common,C,$0.35,85.93333333333334,48000,Beta,LEB (C),24452.380952380943,Beat S&P
Lord of Atlantis,LEB,rare,R,$6.50,312.58,3200,Beta,LEB (R),4708.923076923076,Beat S&P
Lord of the Pit,LEB,rare,R,$9.65,528.8366666666667,3200,Beta,LEB (R),5380.172711571679,Beat S&P
Lure,LEB,uncommon,U,$1.50,23.529999999999998,13500,Beta,LEB (U),1468.6666666666667,Below S&P
Magical Hack,LEB,rare,R,$5.50,211.245,3200,Beta,LEB (R),3740.8181818181815,Beat S&P
Mahamoti Djinn,LEB,rare,R,$9.00,502.875,3200,Beta,LEB (R),5487.5,Beat S&P
Mana Flare,LEB,rare,R,$6.00,315.30333333333334,3200,Beta,LEB (R),5155.05555555555,Beat S&P
Mana Short,LEB,rare,R,$6.00,293.4066666666667,3200,Beta,LEB (R),4790.111111111117,Beat S&P
Mana Vault,LEB,rare,R,$4.75,1651.6233333333332,3200,Beta,LEB (R),34671.017543859576,Beat S&P
Manabarbs,LEB,rare,R,$5.50,145.86,3200,Beta,LEB (R),2552.0000000000005,Beat S&P
Meekstone,LEB,rare,R,$5.00,199.72,3200,Beta,LEB (R),3894.4,Beat S&P
Merfolk of the Pearl Trident,LEB,common,C,$0.35,5.455,48000,Beta,LEB (C),1458.5714285714287,Below S&P
Mesa Pegasus,LEB,common,C,$0.38,5.413333333333333,48000,Beta,LEB (C),1324.5614035087713,Below S&P
Mind Twist,LEB,rare,R,$6.65,1499.99,3200,Beta,LEB (R),22456.240601503756,Beat S&P
Mons's Goblin Raiders,LEB,common,C,$0.35,5.6899999999999995,48000,Beta,LEB (C),1525.714285714286,Below S&P
Mox Emerald,LEB,rare,R,$12.50,9499.99,3200,Beta,LEB (R),75899.92,Beat S&P
Mox Jet,LEB,rare,R,$12.50,12999.99,3200,Beta,LEB (R),103899.92,Beat S&P
Mox Pearl,LEB,rare,R,$15.00,NA,3200,Beta,LEB (R),NA,NA
Mox Ruby,LEB,rare,R,$15.00,9999.99,3200,Beta,LEB (R),66566.59999999999,Beat S&P
Mox Sapphire,LEB,rare,R,$15.00,10999.99,3200,Beta,LEB (R),73233.26666666666,Beat S&P
Natural Selection,LEB,rare,R,$7.00,339.0366666666667,3200,Beta,LEB (R),4743.380952380957,Beat S&P
Nether Shadow,LEB,rare,R,$5.50,243.135,3200,Beta,LEB (R),4320.636363636363,Beat S&P
Nettling Imp,LEB,uncommon,U,$1.80,31.453333333333333,13500,Beta,LEB (U),1647.4074074074058,Below S&P
Nevinyrral's Disk,LEB,rare,R,$6.50,901.8866666666667,3200,Beta,LEB (R),13775.179487179492,Beat S&P
Nightmare,LEB,rare,R,$15.00,599.99,3200,Beta,LEB (R),3899.9333333333334,Beat S&P
Northern Paladin,LEB,rare,R,$12.00,90.33,3200,Beta,LEB (R),652.75,Below S&P
Obsianus Golem,LEB,uncommon,U,$2.00,14.469999999999999,13500,Beta,LEB (U),623.5,Below S&P
Orcish Artillery,LEB,uncommon,U,$1.25,17.106666666666666,13500,Beta,LEB (U),1268.533333333336,Below S&P
Orcish Oriflamme,LEB,uncommon,U,$1.90,6.890000000000001,13500,Beta,LEB (U),262.63157894736844,Below S&P
Paralyze,LEB,common,C,$0.35,10.59,48000,Beta,LEB (C),2925.714285714286,Beat S&P
Pearled Unicorn,LEB,common,C,$0.35,4.41,48000,Beta,LEB (C),1160.0000000000002,Below S&P
Personal Incarnation,LEB,rare,R,$9.00,246.03,3200,Beta,LEB (R),2633.6666666666665,Beat S&P
Pestilence,LEB,common,C,$0.35,19.30333333333333,48000,Beta,LEB (C),5415.238095238085,Beat S&P
Phantasmal Forces,LEB,uncommon,U,$1.50,15.223333333333333,13500,Beta,LEB (U),914.8888888888868,Below S&P
Phantasmal Terrain,LEB,common,C,$0.38,3.9433333333333334,48000,Beta,LEB (C),937.7192982456131,Below S&P
Phantom Monster,LEB,uncommon,U,$1.80,14.885000000000002,13500,Beta,LEB (U),726.9444444444443,Below S&P
Pirate Ship,LEB,rare,R,$6.00,142.85,3200,Beta,LEB (R),2280.8333333333335,Beat S&P
Plague Rats,LEB,common,C,$0.50,8.063333333333334,48000,Beta,LEB (C),1512.666666666666,Below S&P
Plateau,LEB,rare,R,$6.50,3812.995,3200,Beta,LEB (R),58561.46153846154,Beat S&P
Power Leak,LEB,common,C,$0.35,3.2,48000,Beta,LEB (C),814.2857142857144,Below S&P
Power Sink,LEB,common,C,$0.38,12.086666666666666,48000,Beta,LEB (C),3080.7017543859733,Beat S&P
Power Surge,LEB,rare,R,$4.75,129.13333333333333,3200,Beta,LEB (R),2618.5964912280633,Beat S&P
Prodigal Sorcerer,LEB,common,C,$0.75,14.133333333333335,48000,Beta,LEB (C),1784.4444444444403,Below S&P
Psionic Blast,LEB,uncommon,U,$1.50,153.04000000000002,13500,Beta,LEB (U),10102.666666666666,Beat S&P
Psychic Venom,LEB,common,C,$0.38,6.923333333333333,48000,Beta,LEB (C),1721.9298245614027,Below S&P
Purelace,LEB,rare,R,$3.88,89.99,3200,Beta,LEB (R),2219.3298969072166,Below S&P
Raging River,LEB,rare,R,$6.50,329.9266666666667,3200,Beta,LEB (R),4975.7948717948775,Beat S&P
Raise Dead,LEB,common,C,$0.30,7.676666666666667,48000,Beta,LEB (C),2458.8888888888905,Beat S&P
Red Elemental Blast,LEB,common,C,$0.35,71.035,48000,Beta,LEB (C),20195.71428571429,Beat S&P
Red Ward,LEB,uncommon,U,$1.13,6.993333333333333,13500,Beta,LEB (U),518.8790560471974,Below S&P
Regeneration,LEB,common,C,$0.30,4.676666666666667,48000,Beta,LEB (C),1458.8888888888903,Below S&P
Regrowth,LEB,uncommon,U,$2.25,91.15333333333334,13500,Beta,LEB (U),3951.2592592592578,Beat S&P
Resurrection,LEB,uncommon,U,$1.50,18.65,13500,Beta,LEB (U),1143.3333333333333,Below S&P
Reverse Damage,LEB,rare,R,$7.00,124.55333333333334,3200,Beta,LEB (R),1679.3333333333287,Below S&P
Righteousness,LEB,rare,R,$6.50,150.08,3200,Beta,LEB (R),2208.923076923077,Below S&P
Roc of Kher Ridges,LEB,rare,R,$6.00,155.17000000000002,3200,Beta,LEB (R),2486.1666666666665,Beat S&P
Rock Hydra,LEB,rare,R,$9.88,171.135,3200,Beta,LEB (R),1632.1356275303642,Below S&P
Rod of Ruin,LEB,uncommon,U,$1.50,15.073333333333332,13500,Beta,LEB (U),904.8888888888866,Below S&P
Royal Assassin,LEB,rare,R,$11.50,NA,3200,Beta,LEB (R),NA,NA
Sacrifice,LEB,uncommon,U,$1.00,84.99333333333334,13500,Beta,LEB (U),8399.33333333333,Beat S&P
Samite Healer,LEB,common,C,$0.35,4.665,48000,Beta,LEB (C),1232.8571428571431,Below S&P
Savannah,LEB,rare,R,$6.00,1979.8,3200,Beta,LEB (R),32896.666666666664,Beat S&P
Savannah Lions,LEB,rare,R,$4.75,865.365,3200,Beta,LEB (R),18118.21052631579,Beat S&P
Scathe Zombies,LEB,common,C,$0.35,4.546666666666667,48000,Beta,LEB (C),1199.0476190476204,Below S&P
Scavenging Ghoul,LEB,uncommon,U,$1.75,11.036666666666667,13500,Beta,LEB (U),530.6666666666686,Below S&P
Scrubland,LEB,rare,R,$6.50,2500.8,3200,Beta,LEB (R),38373.846153846156,Beat S&P
Scryb Sprites,LEB,common,C,$0.35,12.67,48000,Beta,LEB (C),3520.0000000000005,Beat S&P
Sea Serpent,LEB,common,C,$0.53,2.9933333333333336,48000,Beta,LEB (C),464.77987421383585,Below S&P
Sedge Troll,LEB,rare,R,$5.50,620,3200,Beta,LEB (R),11172.727272727274,Beat S&P
Sengir Vampire,LEB,uncommon,U,$5.00,198.69,13500,Beta,LEB (U),3873.8,Beat S&P
Serra Angel,LEB,uncommon,U,$5.00,503.7766666666667,13500,Beta,LEB (U),9975.53333333334,Beat S&P
Shanodin Dryads,LEB,common,C,$0.35,4.24,48000,Beta,LEB (C),1111.4285714285716,Below S&P
Shatter,LEB,common,C,$0.35,10.049999999999999,48000,Beta,LEB (C),2771.428571428572,Beat S&P
Shivan Dragon,LEB,rare,R,$15.30,2899.99,3200,Beta,LEB (R),18854.183006535946,Beat S&P
